Volume_mL,Vol_L,Vol_Img_mL,Vol_Img_L,Num_ROIs,IFCB_ID,Lake_ID,Lake,Date
30,0.03,3.861913592,0.003861914,3288,D20181231T162857_IFCB109,NPN_150516_1,NPN,150516
30,0.03,0,0.0028696,6768,D20181231T170836_IFCB109,GHP_150521_5,GHP,150521
30,0.03,2.565229638,0.00256523,6848,D20181231T173550_IFCB109,GHP_150521_5,GHP,150521
30,0.03,2.575056658,0.002575057,6815,D20181231T180102_IFCB109,GHP_150521_5,GHP,150521
30,0.03,2.8140375,0.002814038,6303,D20181231T183228_IFCB109,GHP_150601_1,GHP,150601
30,0.03,0,0.003001,6330,D20181231T185956_IFCB109,GHP_150601_1,GHP,150601
30,0.03,2.750041558,0.002750042,6270,D20181231T192715_IFCB109,GHP_150601_1,GHP,150601
30,0.03,4.145796642,0.004145797,2299,D20181231T200137_IFCB109,WHT_150522_1,WHT,150522
30,0.03,4.209116554,0.004209117,2091,D20181231T202602_IFCB109,WHT_150522_1,WHT,150522
30,0.03,4.216531433,0.004216531,2056,D20181231T204916_IFCB109,WHT_150522_1,WHT,150522
30,0.03,3.793055096,0.003793055,3415,D20190102T142244_IFCB109,UMP_150523_1,UMP,150523
30,0.03,0,0.0038869,3377,D20190102T145841_IFCB109,UMP_150523_1,UMP,150523
30,0.03,3.632811008,0.003632811,3891,D20190102T152332_IFCB109,UMP_150523_1,UMP,150523
30,0.03,0,0.0041203,2599,D20190102T155209_IFCB109,NPN_150602_3,NPN,150602
30,0.03,3.965730046,0.00396573,2963,D20190102T161528_IFCB109,NPN_150602_3,NPN,150602
30,0.03,3.927883121,0.003927883,2955,D20190102T164149_IFCB109,NPN_150602_3,NPN,150602
30,0.03,3.156153779,0.003156154,5345,D20190102T171009_IFCB109,GHP_150608_1,GHP,150608
30,0.03,3.168714971,0.003168715,5288,D20190102T175417_IFCB109,GHP_150608_1,GHP,150608
30,0.03,3.175184317,0.003175184,5244,D20190102T181751_IFCB109,GHP_150608_1,GHP,150608
30,0.03,0,0.002908,6640,D20190102T184706_IFCB109,WHT_150602_1,WHT,150602
30,0.03,0,0.0028426,6858,D20190102T191031_IFCB109,WHT_150602_1,WHT,150602
30,0.03,2.684999954,0.002685,6912,D20190102T194942_IFCB109,WHT_150602_1,WHT,150602
30,0.03,3.565874638,0.003565875,3838,D20190102T201924_IFCB109,UMP_150608_1,UMP,150608
30,0.03,0,0.0037162,3946,D20190102T204320_IFCB109,UMP_150608_1,UMP,150608
30,0.03,3.457290354,0.00345729,4044,D20190102T211303_IFCB109,UMP_150608_1,UMP,150608
30,0.03,3.671498129,0.003671498,3801,D20190102T214233_IFCB109,NPN_150609_3,NPN,150609
30,0.03,3.675147904,0.003675148,3772,D20190102T221603_IFCB109,NPN_150609_3,NPN,150609
30,0.03,3.794323913,0.003794324,3491,D20190102T223904_IFCB109,NPN_150609_3,NPN,150609
30,0.03,3.115858525,0.003115859,5163,D20190103T143743_IFCB109,GHP_150615_1,GHP,150615
30,0.03,3.081941496,0.003081941,5445,D20190103T150450_IFCB109,GHP_150615_1,GHP,150615
30,0.03,3.130347792,0.003130348,5226,D20190103T152754_IFCB109,GHP_150615_1,GHP,150615
30,0.03,3.020426592,0.003020427,5071,D20190103T155903_IFCB109,UMP_150616_3,UMP,150616
30,0.03,0,0.0033457,5181,D20190103T162526_IFCB109,UMP_150616_3,UMP,150616
30,0.03,3.054645817,0.003054646,5344,D20190103T165324_IFCB109,UMP_150616_3,UMP,150616
30,0.03,0,0.0042439,2187,D20190103T172507_IFCB109,NPN_150617_1,NPN,150617
30,0.03,4.131852358,0.004131852,2411,D20190103T175242_IFCB109,NPN_150617_2,NPN,150617
30,0.03,4.148968225,0.004148968,2278,D20190103T181733_IFCB109,NPN_150617_3,NPN,150617
30,0.03,1.586105308,0.001586105,9971,D20190103T184919_IFCB109,WHT_150617_1,WHT,150617
30,0.03,1.589709671,0.00158971,10554,D20190103T193217_IFCB109,WHT_150617_1,WHT,150617
30,0.03,0,0.001903,9990,D20190103T200041_IFCB109,WHT_150617_1,WHT,150617
30,0.03,3.325785121,0.003325785,4524,D20190104T144117_IFCB109,GHP_150622_1,GHP,150622
30,0.03,3.533824138,0.003533824,3907,D20190104T151348_IFCB109,GHP_150622_1,GHP,150622
30,0.03,0,0.0038008,3664,D20190104T154758_IFCB109,GHP_150622_1,GHP,150622
30,0.03,3.309503042,0.003309503,5059,D20190104T164703_IFCB109,UMP_150622_5,UMP,150622
30,0.03,3.232503671,0.003232504,5069,D20190104T171248_IFCB109,UMP_150622_5,UMP,150622
30,0.03,3.111920258,0.00311192,5152,D20190104T173852_IFCB109,UMP_150622_5,UMP,150622
30,0.03,3.510073117,0.003510073,4135,D20190104T180844_IFCB109,NPN_150623_1,NPN,150623
30,0.03,3.678563421,0.003678563,3632,D20190104T183321_IFCB109,NPN_150623_1,NPN,150623
30,0.03,0,0.0038914,3362,D20190104T190141_IFCB109,NPN_150623_1,NPN,150623
30,0.03,2.202698988,0.002202699,8140,D20190104T193338_IFCB109,WHT_150623_1,WHT,150623
30,0.03,2.187631604,0.002187632,8247,D20190104T195846_IFCB109,WHT_150623_1,WHT,150623
30,0.03,2.098129667,0.00209813,8319,D20190104T202256_IFCB109,WHT_150623_1,WHT,150623
30,0.03,2.801392675,0.002801393,5764,D20190104T210626_IFCB109,GHP_150629_1,GHP,150629
30,0.03,2.886393908,0.002886394,5439,D20190104T213737_IFCB109,GHP_150629_1,GHP,150629
30,0.03,2.632880167,0.00263288,6210,D20190104T220422_IFCB109,GHP_150629_1,GHP,150629
